Id,Name,pagesNumber,RatingDistTotal,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",652,total:2298124,Scholastic Inc.,28062,2006,eng,J.K. Rowling,4.57
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",870,total:2358637,Scholastic Inc.,29770,2004,eng,J.K. Rowling,4.5
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",309,total:6587388,Scholastic Inc,75911,2003,eng,J.K. Rowling,4.47
4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",352,total:2560657,Scholastic,244,2003,eng,J.K. Rowling,4.42
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",435,total:2610317,Scholastic Inc.,37093,2004,eng,J.K. Rowling,4.57
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",734,total:2431085,Scholastic,31978,2002,eng,J.K. Rowling,4.56
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",2690,total:43968,Scholastic,166,2004,eng,J.K. Rowling,4.78
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",152,total:28,Nimble Books,1,2005,en-US,W. Frederick Zimmerman,3.79
10,"Harry Potter Collection (Harry Potter, #1-6)",3342,total:30313,Scholastic,809,2005,eng,J.K. Rowling,4.73
12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",815,total:274268,Gramercy Books,255,2005,eng,Douglas Adams,4.37
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",815,total:274268,Del Rey Books,4119,2002,eng,Douglas Adams,4.37
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",215,total:1350083,Crown,470,2004,eng,Douglas Adams,4.22
18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",815,total:274268,Wings Books,194,1996,eng,Douglas Adams,4.37
21,A Short History of Nearly Everything,544,total:276166,Broadway Books,9545,2004,eng,Bill Bryson,4.21
22,Bill Bryson's African Diary,55,total:8393,Broadway Books,503,2002,eng,Bill Bryson,3.45
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,256,total:2656,Broadway Books,131,2004,eng,Bill Bryson,3.88
24,In a Sunburned Country,335,total:85287,Broadway Books,4298,2001,eng,Bill Bryson,4.07
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,304,total:56082,Broadway Books,2224,2000,eng,Bill Bryson,3.9
26,The Lost Continent: Travels in Small Town America,299,total:49012,William Morrow Paperbacks,2276,1990,eng,Bill Bryson,3.83
27,Neither Here nor There: Travels in Europe,254,total:54388,William Morrow Paperbacks,2264,1993,eng,Bill Bryson,3.86
28,Notes from a Small Island,324,total:89491,William Morrow Paperbacks,3335,1997,eng,Bill Bryson,3.92
29,The Mother Tongue: English and How It Got That Way,270,total:33416,William Morrow Paperbacks,2123,1991,eng,Bill Bryson,3.93
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1728,total:106621,Ballantine Books,1548,2012,eng,J.R.R. Tolkien,4.6
31,"The Lord of the Rings (The Lord of the Rings, #1-3)",1184,total:539513,Houghton Mifflin Harcourt,90,2004,eng,J.R.R. Tolkien,4.5
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",398,total:2255826,Houghton Mifflin Harcourt,13935,2003,eng,J.R.R. Tolkien,4.36
36,The Lord of the Rings: Weapons and Warfare,218,total:20920,Houghton Mifflin Harcourt,45,2003,eng,Chris   Smith,4.53
37,The Lord of the Rings: Complete Visual Companion,224,total:380,Houghton Mifflin Harcourt,6,2004,eng,Jude Fisher,4.5
38,The Lord of the Rings Box Set,1223,total:539513,,19,2001,eng,J.R.R. Tolkien,4.5
45,Agile Web Development with Rails: A Pragmatic Guide,558,total:2080,Pragmatic Bookshelf,59,2005,eng,Dave Thomas,3.84
46,Ruby Quickly: Ruby and Rails for the Real World,360,total:5,Manning Publications,0,2006,,Mark   Watson,3.4
50,"Hatchet (Brian's Saga, #1)",208,total:288973,Atheneum Books for Young Readers: Richard Jackson Books,12157,2000,eng,Gary Paulsen,3.72
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",48,total:36,Teacher Created Resources,2,1994,eng,Donna Ickes,4
53,Guts: The True Stories behind Hatchet and the Brian Books,144,total:2400,Delacorte Press,336,2001,eng,Gary Paulsen,3.88
54,Molly Hatchet - 5 of the Best,56,total:6,Cherry Lane Music Company,0,2003,eng,Molly Hatchet,4.33
55,Hatchet Jobs: Writings on Contemporary Fiction,228,total:123,The New Press,16,2005,en-US,Dale Peck,3.46
56,The Woodsman and His Hatchet: Eighty Years on Back Country Survival,150,total:10,Stoneydale Press,0,1996,,Bud Cheff Sr.,3.6
57,A Changeling for All Seasons (Changeling Seasons #1),304,total:171,Changeling Press,4,2005,eng,Angela Knight,3.76
58,"Changeling (Changeling, #1)",256,total:1049,Viking Juvenile,112,2006,eng,Delia Sherman,3.6
59,The Changeling Sea,137,total:4836,Firebird,306,2003,eng,Patricia A. McKillip,4.06
61,The Changeling,228,total:1365,iUniverse,97,2004,eng,Zilpha Keatley Snyder,4.17
