pagesNumber,Authors,Publisher,Rating,Language,RatingDistTotal,RatingDist5,RatingDist3,CountsOfReview,PublishDay,ISBN,RatingDist4,PublishMonth,Id,PublishYear,RatingDist1,RatingDist2,Name
400,Royce Flippin,PublicAffairs,4.18,,total:11,5:03,3:01,1,9,1560256133,4:07,20,100000,2004,1:00,2:00,The Best American Political Writing 2004: Special Election Year Edition
30,Gail Sakurai,Turtleback Books,4,,total:6,5:02,3:02,0,9,061390737X,4:02,1,100004,1996,1:00,2:00,Stephen Hawking: Understanding the Universe
16,Sandi Hill,Creative Teaching Press,3.6,,total:5,5:00,3:02,2,3,1574713388,4:03,1,100007,1998,1:00,2:00,Detective Dog and the Search for Cat
280,Bob Butz,Lyons Press,3.21,,total:29,5:03,3:12,6,1,1592284469,4:08,1,100010,2005,1:02,2:04,"Beast of Never, Cat of God: The Search for the Eastern Puma"
193,Raymond B. Marcin,Catholic University of America Press,3.43,,total:7,5:00,3:02,0,2,0813214300,4:04,3,100011,2006,1:00,2:01,In Search of Schopenhauer's Cat: Arthur Schopenhauer's Quantum-Mystical Theory of Justice
168,Sue Hamilton,"Oxford University Press, USA",3.52,en-GB,total:313,5:42,0.202083333,33,6,0192853740,0.251388889,7,100016,2001,1:04,2:34,Indian Philosophy: A Very Short Introduction
149,Simon Critchley,"Oxford University Press, USA",3.7,,total:677,0.311805556,0.284722222,62,6,0192853597,0.334027778,7,100017,2001,1:09,2:48,Continental Philosophy: A Very Short Introduction
133,Julia Annas,"Oxford University Press, USA",3.54,eng,total:401,0.252083333,0.222222222,46,1,0192853570,0.269444444,18,100019,2001,1:08,2:42,Ancient Philosophy: A Very Short Introduction
127,Raymond Wacks,"Oxford University Press, USA",3.67,,total:354,0.259722222,0.20625,26,6,0192806912,0.255555556,22,100020,2006,1:05,2:30,Philosophy of Law: A Very Short Introduction
112,Thomas Nagel,"Oxford University Press, USA",3.65,en-US,total:2758,0.586805556,0.749305556,177,10,0195052161,0.885416667,15,100021,1987,1:49,0.243055556,What Does It All Mean? A Very Short Introduction to Philosophy
240,Alastair I.M. Rae,Oneworld Publications,3.76,,total:357,0.261805556,0.197916667,19,7,1851683690,0.269444444,1,100022,2005,1:02,2:25,Quantum Physics: A Beginner's Guide
330,Kenneth W. Ford,Harvard University Press,3.96,eng,total:415,0.304166667,0.190277778,31,8,067401832X,0.273611111,1,100023,2005,1:03,2:26,The Quantum World:
864,Robert M. Eisberg,Wiley,4.01,,total:240,0.277777778,3:39,13,2,047187373X,0.21875,14,100024,1985,1:06,2:20,"Quantum Physics of Atoms, Molecules, Solids, Nuclei, and Particles"
670,Anthony P. French,CRC Press,3.89,,total:44,5:10,3:09,0,12,0748740783,4:22,2,100025,1979,1:00,2:03,An Introduction to Quantum Physics
672,Frederick W. Byron Jr.,Dover Publications,4.28,eng,total:139,0.256944444,3:17,4,8,048667164X,4:46,20,100026,1992,1:02,2:04,Mathematics of Classical and Quantum Physics
211,Bruce Rosenblum,"Oxford University Press, USA",4.11,,total:1921,0.711111111,0.347222222,80,6,019517559X,0.713194444,1,100027,2006,1:15,0.135416667,Quantum Enigma: Physics Encounters Consciousness
125,Valerio Scarani,"Oxford University Press, USA",3.93,,total:29,5:10,3:06,5,3,0198570473,4:10,1,100028,2006,1:00,2:03,"Quantum Physics: A First Encounter: Interference, Entanglement, and Reality"
315,Dirk Bouwmeester,Springer,3.67,,total:12,5:01,3:02,3,5,3540667784,4:08,19,100029,2000,1:01,2:00,"The Physics of Quantum Information: Quantum Cryptography, Quantum Teleportation, Quantum Computation"
